Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
"04192500—Maumee River near Defiance OH—Statistics based on water years: 1979–2020
Harmonic mean flow: 1000 ft3/s—Average streamflow: 5370 ft3/s—Minimum daily streamflow: 60.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,214,272,361,471,590,733,920,"1,370","2,030","3,000","4,700","7,910","14,800",1,229,155,125,103,82.6
,,,,,,,,,,,,,,7,273,183,148,123,100
,,,,,,,,,,,,,,30,422,254,196,159,125
,,,,,,,,,,,,,,90,762,432,334,276,227
May–November,193,237,293,355,426,509,600,845,"1,200","1,700","2,620","4,480","9,140",1,231,156,126,104,83.5
,,,,,,,,,,,,,,7,275,184,149,125,102
,,,,,,,,,,,,,,30,420,250,194,159,128
,,,,,,,,,,,,,,90,757,429,334,277,230
December–February,308,410,570,700,880,"1,140","1,400","2,030","2,900","4,240","6,370","10,500","18,700",1,592,351,268,215,169
,,,,,,,,,,,,,,7,672,388,296,238,188
,,,,,,,,,,,,,,30,"1,520",695,466,336,234
,,,,,,,,,,,,,,90,"6,290","3,790","2,810","2,160","1,570"
September–November,185,218,251,290,331,377,431,564,741,"1,020","1,450","2,510","5,920",1,241,173,149,134,120
,,,,,,,,,,,,,,7,309,215,181,160,140
,,,,,,,,,,,,,,30,499,298,237,199,167
,,,,,,,,,,,,,,90,"1,760",858,576,410,276
"04193500—Maumee River at Waterville OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 1060 ft3/s—Average streamflow: 6010 ft3/s—Minimum daily streamflow: 17.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,205,295,413,538,679,836,"1,020","1,540","2,240","3,360","5,210","8,650","16,500",1,212,102,64.4,42,24.6
,,,,,,,,,,,,,,7,286,164,119,89,63.1
,,,,,,,,,,,,,,30,441,257,195,156,121
,,,,,,,,,,,,,,90,812,447,339,274,220
May–November,170,242,327,404,490,576,678,945,"1,340","1,910","2,910","4,930","9,780",1,217,104,65.1,42.1,24.5
,,,,,,,,,,,,,,7,294,168,120,89.5,62.7
,,,,,,,,,,,,,,30,450,258,196,157,123
,,,,,,,,,,,,,,90,828,455,344,278,223
December–February,350,490,690,840,"1,000","1,260","1,500","2,200","3,200","4,670","7,000","11,500","20,900",1,692,412,312,247,189
,,,,,,,,,,,,,,7,812,475,358,283,216
,,,,,,,,,,,,,,30,"1,760",808,539,385,264
,,,,,,,,,,,,,,90,"7,330","4,110","2,830","2,000","1,300"
September–November,146,195,253,311,362,422,491,632,835,"1,120","1,560","2,590","5,840",1,248,125,82.7,57.2,36.6
,,,,,,,,,,,,,,7,330,193,144,112,84.2
,,,,,,,,,,,,,,30,529,296,225,182,146
,,,,,,,,,,,,,,90,"1,800",843,554,387,255
"04196000—Sandusky River near Bucyrus OH—Statistics based on water years: 1975–1981, 1996–2020
Harmonic mean flow: 14.6 ft3/s—Average streamflow: 109 ft3/s—Minimum daily streamflow: 0.34 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.1,4.18,5.57,7.1,8.8,11,13.2,20,30,43,64,105,236,1,2.95,1.93,1.49,1.18,0.89
,,,,,,,,,,,,,,7,3.66,2.57,2.12,1.81,1.5
,,,,,,,,,,,,,,30,6.01,3.98,3.3,2.87,2.49
,,,,,,,,,,,,,,90,11.5,6.92,5.66,4.94,4.36
May–November,2.8,3.67,4.76,5.6,6.7,7.84,9.2,12.4,17,24.5,36.4,57.8,127,1,3.1,2,1.54,1.23,0.93
,,,,,,,,,,,,,,7,3.76,2.69,2.26,1.97,1.69
,,,,,,,,,,,,,,30,5.95,4.17,3.66,3.37,3.14
,,,,,,,,,,,,,,90,12,7.06,5.69,4.9,4.26
December–February,3.4,5,7.8,10,13,17,20.4,30,42.3,61,90,160,400,1,6.75,3.57,2.58,1.97,1.46
,,,,,,,,,,,,,,7,9.29,4.75,3.31,2.45,1.74
,,,,,,,,,,,,,,30,29.7,11.3,6.69,4.29,2.56
,,,,,,,,,,,,,,90,141,88.3,67,52.5,39.2
September–November,2.4,3.23,4.1,4.8,5.51,6.31,7.3,9.6,12.8,17,24.7,40.5,82.8,1,3.62,2.24,1.73,1.38,1.07
,,,,,,,,,,,,,,7,4.35,2.87,2.35,2.02,1.72
,,,,,,,,,,,,,,30,8.86,4.91,3.78,3.11,2.55
,,,,,,,,,,,,,,90,29.8,12.9,8.21,5.65,3.68
"04196500—Sandusky River near Upper Sandusky OH—Statistics based on water years: 1975–1981, 2002–2020
Harmonic mean flow: 39.3 ft3/s—Average streamflow: 342 ft3/s—Minimum daily streamflow: 1.70 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,6.38,10.3,15.5,21,27,34,43,68,105,148,223,370,845,1,6.13,3.09,2.14,1.58,1.11
,,,,,,,,,,,,,,7,8.67,4.56,3.24,2.44,1.77
,,,,,,,,,,,,,,30,15.6,9.41,7.47,6.28,5.25
,,,,,,,,,,,,,,90,32.2,17.1,13.1,10.7,8.9
May–November,4.73,7.72,11.6,15,19,22.9,27,37.1,54.3,86,129,210,457,1,6.27,3.14,2.16,1.58,1.1
,,,,,,,,,,,,,,7,8.71,4.57,3.25,2.44,1.77
,,,,,,,,,,,,,,30,15.4,9.17,7.26,6.09,5.1
,,,,,,,,,,,,,,90,33.1,17.4,13.1,10.6,8.67
December–February,12.5,20,29.2,40,50,61.8,74.5,110,151,214,334,593,"1,270",1,29.4,14.8,10.2,7.54,5.33
,,,,,,,,,,,,,,7,38.2,20.6,14.9,11.5,8.59
,,,,,,,,,,,,,,30,108,46.6,29.7,20.4,13.3
,,,,,,,,,,,,,,90,441,256,184,136,94.5
September–November,4.42,7.48,10.9,13.4,16.6,19.2,22.4,29,37.1,54.9,88.6,145,312,1,7.91,3.66,2.4,1.67,1.1
,,,,,,,,,,,,,,7,12.1,5.97,4.01,2.84,1.89
,,,,,,,,,,,,,,30,25.4,12,8.58,6.72,5.27
,,,,,,,,,,,,,,90,96.4,38.2,23,14.9,9.07
"04197100—Honey Creek at Melmore OH—Statistics based on water years: 1977–2020
Harmonic mean flow: 6.31 ft3/s—Average streamflow: 148 ft3/s—Minimum daily streamflow: 0.07 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.87,1.5,2.61,4.05,6,8.71,12,21,33,51,83.1,158,403,1,1.45,0.58,0.34,0.21,0.12
,,,,,,,,,,,,,,7,1.83,0.76,0.45,0.28,0.16
,,,,,,,,,,,,,,30,3.03,1.16,0.7,0.46,0.29
,,,,,,,,,,,,,,90,8.71,3.06,1.83,1.22,0.79
May–November,0.63,1.1,1.8,2.5,3.3,4.29,5.6,9.23,15,23,37.5,70,191,1,1.52,0.6,0.35,0.21,0.12
,,,,,,,,,,,,,,7,1.95,0.8,0.47,0.29,0.16
,,,,,,,,,,,,,,30,3.23,1.24,0.74,0.48,0.3
,,,,,,,,,,,,,,90,9.41,3.32,1.99,1.33,0.86
December–February,2.4,5,9.4,13.3,17,21,26.2,40,58,85,135,265,608,1,10.4,4.54,2.83,1.88,1.16
,,,,,,,,,,,,,,7,12.6,5.5,3.42,2.26,1.38
,,,,,,,,,,,,,,30,36.6,13.3,7.38,4.42,2.4
,,,,,,,,,,,,,,90,192,113,83,63.1,45.4
September–November,0.51,0.85,1.2,1.7,2.26,2.84,3.4,4.97,7.3,12.8,21,39.5,124,1,1.64,0.59,0.33,0.2,0.12
,,,,,,,,,,,,,,7,2.12,0.79,0.45,0.28,0.17
,,,,,,,,,,,,,,30,4.55,1.46,0.83,0.53,0.32
,,,,,,,,,,,,,,90,31,9.34,4.8,2.72,1.4
"04197137—Sandusky River at Tiffin OH—Statistics based on water years: 2010–2020
Harmonic mean flow: 148 ft3/s—Average streamflow: 1160 ft3/s—Minimum daily streamflow: 18.1 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,30.2,37.6,51.1,66.5,86.4,115,146,226,349,522,816,"1,510","3,620",1,31.7,22.4,19.3,17.4,15.6
,,,,,,,,,,,,,,7,36,25.6,22.5,20.8,19.4
,,,,,,,,,,,,,,30,44.3,30.8,27.7,26.1,25.1
,,,,,,,,,,,,,,90,83.6,47.1,39,34.9,32
May–November,27.5,31.9,40.4,47.5,55.6,66.4,79.1,118,182,300,480,895,"2,290",1,32.3,22.8,19.6,17.5,15.7
,,,,,,,,,,,,,,7,36,26.1,23.2,21.6,20.3
,,,,,,,,,,,,,,30,43.5,31.4,28.6,27.4,26.6
,,,,,,,,,,,,,,90,86.6,49.8,41.4,37,34
December–February,73.2,92.6,131,152,175,205,240,327,500,716,"1,150","2,170","4,800",1,92.9,58.5,48.7,42.9,38.2
,,,,,,,,,,,,,,7,116,80,70.5,65.2,61.2
,,,,,,,,,,,,,,30,345,203,160,133,111
,,,,,,,,,,,,,,90,"1,370",754,513,359,230
September–November,28.1,31.7,35.2,40.3,44.6,47.8,52.6,66.3,89.9,134,241,425,"1,180",1,32.9,24.3,21.5,19.8,18.3
,,,,,,,,,,,,,,7,40.5,29.2,25.9,23.9,22.4
,,,,,,,,,,,,,,30,65.4,33.6,27.2,24.1,22
,,,,,,,,,,,,,,90,308,111,64.7,41.4,25
"04198000—Sandusky River near Fremont OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 165 ft3/s—Average streamflow: 1280 ft3/s—Minimum daily streamflow: 6.30 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,34,43,57.4,73.7,95,130,169,263,382,553,855,"1,530","3,490",1,37.6,23,17.7,14.2,11
,,,,,,,,,,,,,,7,43.9,26.8,20.6,16.6,12.9
,,,,,,,,,,,,,,30,57,35.8,30.1,26.9,24.5
,,,,,,,,,,,,,,90,119,60,44.6,36,29.2
May–November,29,37,46,55,65,76,91,139,203,297,449,763,"1,870",1,38.6,23.5,17.9,14.3,11
,,,,,,,,,,,,,,7,45,27.3,20.9,16.7,12.9
,,,,,,,,,,,,,,30,57.4,36.1,30.3,27.1,24.6
,,,,,,,,,,,,,,90,121,60.6,45.2,36.6,29.9
December–February,63,82,130,174,220,270,329,446,615,875,"1,380","2,450","5,220",1,140,81.7,61.5,48.7,37.4
,,,,,,,,,,,,,,7,167,95.3,70.7,55.1,41.5
,,,,,,,,,,,,,,30,393,177,115,80.1,53.1
,,,,,,,,,,,,,,90,"1,620","1,010",780,627,487
September–November,28,33.7,40,46,51.3,57,64,82,110,162,251,426,"1,100",1,42.4,24.9,19,15.2,11.9
,,,,,,,,,,,,,,7,49.1,30,23.7,19.8,16.3
,,,,,,,,,,,,,,30,78.5,40.5,31.3,26.3,22.5
,,,,,,,,,,,,,,90,284,112,69.4,47.2,30.8
"04199000—Huron River at Milan OH—Statistics based on water years: 1975–1981, 1988–2020
Harmonic mean flow: 58.3 ft3/s—Average streamflow: 379 ft3/s—Minimum daily streamflow: 4.10 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,11,16.9,23.2,29,35.2,43.5,53,77.6,115,168,245,400,857,1,13.6,8.47,6.56,5.29,4.14
,,,,,,,,,,,,,,7,16.3,10.2,7.87,6.34,4.95
,,,,,,,,,,,,,,30,24,14.5,11.3,9.26,7.45
,,,,,,,,,,,,,,90,46.9,26,19.6,15.8,12.5
May–November,9.8,13,18,22.1,26.6,30.3,35,46,60.5,81.6,121,193,422,1,14.2,8.82,6.8,5.44,4.2
,,,,,,,,,,,,,,7,17,10.7,8.28,6.64,5.13
,,,,,,,,,,,,,,30,24.7,14.8,11.4,9.22,7.3
,,,,,,,,,,,,,,90,49.4,27.1,20.2,16.1,12.6
December–February,23.2,29,41,56.5,70,88,107,150,200,270,394,608,"1,340",1,49.4,25.5,17.7,13,9.05
,,,,,,,,,,,,,,7,60.1,29.9,20.2,14.5,9.77
,,,,,,,,,,,,,,30,140,64.7,42.3,29.3,19.2
,,,,,,,,,,,,,,90,488,303,234,188,146
September–November,9.5,12,17,20,23,26.1,29.2,36.3,46,59,81,130,283,1,15.5,9.45,7.32,5.95,4.73
,,,,,,,,,,,,,,7,19.1,11.8,9.24,7.54,6
,,,,,,,,,,,,,,30,32.9,18.1,13.8,11.3,9.22
,,,,,,,,,,,,,,90,108,51.9,35.6,26.2,18.6
"04199155—Old Woman Creek at Berlin Rd near Huron OH—Statistics based on water years: 1988–1994, 1996–2020
Harmonic mean flow: 0.55 ft3/s—Average streamflow: 23.4 ft3/s—Minimum daily streamflow: 0.00 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0,0,0.1,0.32,0.64,1.1,1.68,3.2,5.6,9.12,14.3,23.3,51.2,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.01,0,0,0,0
,,,,,,,,,,,,,,30,0.19,0,0,0,0
,,,,,,,,,,,,,,90,1.66,0.34,0.1,0.02,0
May–November,0,0,0,0.06,0.18,0.33,0.51,1.14,2.04,3.34,5.68,10.9,26.4,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.01,0,0,0,0
,,,,,,,,,,,,,,30,0.19,0.01,0,0,0
,,,,,,,,,,,,,,90,1.63,0.34,0.11,0.02,0
December–February,0.4,0.84,1.5,2.27,3.1,4,5.02,7.88,11,15,20.8,33,76.1,1,1.5,0.5,0.23,0.1,0
,,,,,,,,,,,,,,7,2.26,0.63,0.27,0.12,0.05
,,,,,,,,,,,,,,30,7.71,3.1,1.82,1.14,0.65
,,,,,,,,,,,,,,90,31.5,18.8,13.7,10.3,7.23
September–November,0,0,0,0.03,0.15,0.26,0.38,0.8,1.47,2.52,4.3,8.35,23.4,1,0,0,0,0,0
,,,,,,,,,,,,,,7,0.08,0,0,0,0
,,,,,,,,,,,,,,30,0.91,0.07,0,0,0
,,,,,,,,,,,,,,90,8.26,2.4,1.11,0.54,0.23
"04199500—Vermilion River near Vermilion OH—Statistics based on water years: 1975–1981, 2002–2020
Harmonic mean flow: 25.0 ft3/s—Average streamflow: 317 ft3/s—Minimum daily streamflow: 0.50 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.6,5.95,9.3,13.9,19,25,32.3,56,84,125,190,328,700,1,4.28,2.31,1.56,1.09,0.7
,,,,,,,,,,,,,,7,5.45,2.96,2.02,1.41,0.91
,,,,,,,,,,,,,,30,10.4,5.45,3.79,2.77,1.91
,,,,,,,,,,,,,,90,28.3,13.2,8.75,6.16,4.12
May–November,2.92,4.36,6.5,8.58,10.5,13.5,16.7,25,36.1,56.2,85,143,324,1,4.08,2.19,1.5,1.06,0.69
,,,,,,,,,,,,,,7,5.2,2.8,1.91,1.36,0.89
,,,,,,,,,,,,,,30,10.5,5.5,3.81,2.77,1.91
,,,,,,,,,,,,,,90,28.1,13.2,8.74,6.18,4.15
December–February,18,23,38.3,54,64,80,92,121,160,227,330,549,"1,150",1,41.9,23.3,17,13.1,9.79
,,,,,,,,,,,,,,7,53.6,29.3,21.1,15.9,11.4
,,,,,,,,,,,,,,30,141,64.2,40.7,27.4,17
,,,,,,,,,,,,,,90,397,246,194,159,129
September–November,2.7,3.84,5.9,7.31,9.01,10.8,13,18.7,26.8,38,61.3,108,239,1,5.1,2.61,1.73,1.19,0.76
,,,,,,,,,,,,,,7,6.93,3.45,2.25,1.52,0.94
,,,,,,,,,,,,,,30,17.4,7.69,5.1,3.67,2.55
,,,,,,,,,,,,,,90,92.3,36.9,21.4,13.1,7.25
"04200500—Black River at Elyria OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 41.4 ft3/s—Average streamflow: 400 ft3/s—Minimum daily streamflow: 2.86 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,7.4,10,15,19.8,25,32,41,67.4,105,162,250,430,950,1,7.71,5.22,4.24,3.56,2.92
,,,,,,,,,,,,,,7,9.59,6.44,5.22,4.39,3.61
,,,,,,,,,,,,,,30,15.8,9.71,7.69,6.41,5.29
,,,,,,,,,,,,,,90,39.8,20.9,15.4,12.1,9.36
May–November,6.22,8.3,11,14,16.7,20,23,32,46,69,108,193,459,1,7.82,5.28,4.27,3.57,2.91
,,,,,,,,,,,,,,7,9.72,6.5,5.25,4.39,3.58
,,,,,,,,,,,,,,30,16.4,9.92,7.75,6.37,5.16
,,,,,,,,,,,,,,90,40.1,21.2,15.6,12.3,9.49
December–February,20,26,40,56,70,90,110,152,200,277,405,668,"1,470",1,43.8,25.2,18.5,14.2,10.4
,,,,,,,,,,,,,,7,51.9,29.2,21.4,16.4,12.2
,,,,,,,,,,,,,,30,140,63.9,41.6,28.9,19
,,,,,,,,,,,,,,90,539,360,287,237,189
September–November,6,7.51,9.61,12,14,17,19.4,25.1,35,50.1,83.3,159,398,1,8.89,5.66,4.47,3.67,2.94
,,,,,,,,,,,,,,7,11.7,7.14,5.65,4.72,3.9
,,,,,,,,,,,,,,30,25.7,12.4,9.08,7.28,5.88
,,,,,,,,,,,,,,90,119,47.8,29.1,19.1,11.7
"04201500—Rocky River near Berea OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 81.2 ft3/s—Average streamflow: 361 ft3/s—Minimum daily streamflow: 0.57 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,20,25,33,40.9,50,59,70.7,98,135,184,255,403,806,1,21,14.8,9.38,5.38,2.35
,,,,,,,,,,,,,,7,22.7,17.3,14.7,12.8,10.7
,,,,,,,,,,,,,,30,39.3,27.9,23.9,21.4,19.1
,,,,,,,,,,,,,,90,80,53.4,44.2,38.2,32.8
May–November,18,22,27,32,36.1,41,46.4,59.2,77,101,145,227,475,1,21.1,14.9,9.4,5.39,2.35
,,,,,,,,,,,,,,7,22.8,17.4,14.7,12.7,10.7
,,,,,,,,,,,,,,30,40.7,28.7,24.5,21.7,19.2
,,,,,,,,,,,,,,90,83.3,55.7,46.1,39.8,34
December–February,40,55,72,88.9,102,120,133,168,209,260,357,557,"1,140",1,69.4,46.1,36,28.9,22.1
,,,,,,,,,,,,,,7,82.7,53.5,41.1,32.4,24.3
,,,,,,,,,,,,,,30,178,102,73.7,55.7,39.8
,,,,,,,,,,,,,,90,460,337,286,249,213
September–November,18.7,22.6,28,33,37,40.4,45.2,56,71.2,94.2,134,212,448,1,22.7,17.2,14.9,13.3,11.7
,,,,,,,,,,,,,,7,28.2,20.7,18.3,16.9,15.7
,,,,,,,,,,,,,,30,65.7,38.9,30.7,25.7,21.4
,,,,,,,,,,,,,,90,172,97.5,72.9,57.6,44.2
"04206043—Mud Brook at Cuyahoga Falls OH—Statistics based on water years: not enough
Harmonic mean flow: 8.66 ft3/s—Average streamflow: 31.2 ft3/s—Minimum daily streamflow: 0.67 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.7,2.5,3.6,5.09,6.29,7.1,8.33,11.8,15.8,21.1,28,40.4,77.1,1,1.07,0.66,0.55,0.49,0.44
,,,,,,,,,,,,,,7,1.44,0.94,0.8,0.72,0.65
,,,,,,,,,,,,,,30,3.74,2.33,2,1.83,1.72
,,,,,,,,,,,,,,90,6.51,3.94,3.38,3.11,2.93
May–November,1.34,1.98,2.62,3.32,4.02,5,5.94,7.62,10.2,14.5,20,30.6,62.3,1,1.07,0.66,0.55,0.49,0.44
,,,,,,,,,,,,,,7,1.44,0.94,0.8,0.72,0.65
,,,,,,,,,,,,,,30,3.74,2.33,2,1.83,1.72
,,,,,,,,,,,,,,90,6.51,3.94,3.38,3.11,2.93
December–February,6.28,6.72,7.41,8.3,10.3,11.3,12.6,15.4,20.1,24,29.6,42,74,1,5.9,5.11,4.93,4.84,4.8
,,,,,,,,,,,,,,7,7.15,6.07,5.72,5.52,5.35
,,,,,,,,,,,,,,30,14.3,10.4,9.02,8.07,7.18
,,,,,,,,,,,,,,90,29.1,24.2,22.2,20.7,19.3
September–November,1.67,2.48,3,3.45,4.38,5.17,5.7,7.61,9.59,13.6,17.1,26.9,44.6,1,1.59,1.24,1.15,1.11,1.08
,,,,,,,,,,,,,,7,2.64,1.85,1.47,1.19,0.912
,,,,,,,,,,,,,,30,7.26,4.79,4.19,3.88,3.67
,,,,,,,,,,,,,,90,13.3,9.16,8.03,7.41,6.94
"04206212—North Fork at Bath Center OH—Statistics based on water years: not enough
Harmonic mean flow: 1.35 ft3/s—Average streamflow: 6.64 ft3/s—Minimum daily streamflow: 0.07 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.25,0.4,0.55,0.73,0.95,1.1,1.38,2,2.8,3.79,5.2,7.9,14,1,0.17,0.1,0.07,0.06,0.04
,,,,,,,,,,,,,,7,0.29,0.17,0.12,0.1,0.07
,,,,,,,,,,,,,,30,0.7,0.43,0.33,0.26,0.2
,,,,,,,,,,,,,,90,1.47,0.97,0.8,0.7,0.61
May–November,0.2,0.29,0.44,0.52,0.62,0.73,0.86,1.1,1.5,2.11,3.19,4.7,9.2,1,0.19,0.1,0.07,0.05,0.04
,,,,,,,,,,,,,,7,0.29,0.17,0.12,0.1,0.07
,,,,,,,,,,,,,,30,0.7,0.43,0.33,0.26,0.2
,,,,,,,,,,,,,,90,1.48,0.97,0.8,0.7,0.62
December–February,0.75,1.1,1.38,1.6,1.9,2.1,2.3,2.9,3.6,4.63,6.4,8.8,17.5,1,0.95,0.49,0.33,0.23,0.15
,,,,,,,,,,,,,,7,1.31,0.84,0.65,0.53,0.41
,,,,,,,,,,,,,,30,2.6,1.75,1.44,1.24,1.05
,,,,,,,,,,,,,,90,7.83,6,5.17,4.55,3.91
September–November,0.21,0.3,0.49,0.55,0.63,0.75,0.88,1.07,1.33,1.9,2.9,4.3,8.7,1,0.24,0.12,0.09,0.07,0.05
,,,,,,,,,,,,,,7,0.44,0.28,0.22,0.19,0.15
,,,,,,,,,,,,,,30,1.38,0.9,0.75,0.64,0.55
,,,,,,,,,,,,,,90,2.96,1.74,1.34,1.1,0.89
"04206220—Yellow Creek at Botzum OH—Statistics based on water years: 1992–2003, 2013
Harmonic mean flow: 13.4 ft3/s—Average streamflow: 34.9 ft3/s—Minimum daily streamflow: 2.30 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.7,4.9,6.2,7.3,8.42,9.8,11,15,19,24,31,42,72,1,3.67,2.79,2.43,2.18,1.93
,,,,,,,,,,,,,,7,4.13,3.17,2.77,2.48,2.2
,,,,,,,,,,,,,,30,6.18,5.04,4.6,4.31,4.03
,,,,,,,,,,,,,,90,9.82,7.74,7.11,6.76,6.48
May–November,3.4,4.2,5.3,6.06,6.7,7.4,8.2,10,13,16,20,28,50,1,3.67,2.79,2.43,2.18,1.93
,,,,,,,,,,,,,,7,4.13,3.17,2.77,2.48,2.2
,,,,,,,,,,,,,,30,6.18,5.04,4.6,4.31,4.03
,,,,,,,,,,,,,,90,9.71,7.68,7.14,6.85,6.66
December–February,6.5,7.9,9.4,11,13.2,16,17,21,25.1,30.4,37,49,86,1,9.82,5.84,4.37,3.4,2.54
,,,,,,,,,,,,,,7,11.2,6.73,5.09,4.02,3.06
,,,,,,,,,,,,,,30,16.7,11.1,9.15,7.93,6.84
,,,,,,,,,,,,,,90,40.6,29.7,25,21.7,18.3
September–November,3,3.9,5.2,5.9,6.7,7.2,7.92,9.5,12,14,18,24,42,1,4.03,2.81,2.42,2.18,1.97
,,,,,,,,,,,,,,7,5.04,3.26,2.65,2.26,1.91
,,,,,,,,,,,,,,30,9.5,6.41,5.29,4.55,3.87
,,,,,,,,,,,,,,90,17.2,11.2,9.09,7.76,6.57
"04208460—Mill Creek at Garfield Hts OH—Statistics based on water years: 2002–2020
Harmonic mean flow: 6.60 ft3/s—Average streamflow: 26.6 ft3/s—Minimum daily streamflow: 0.01 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,3.78,4.47,5.43,6.02,6.65,7.3,8.08,9.86,12,14.7,19,27,51.4,1,3.95,2.51,0.87,0.24,0.03
,,,,,,,,,,,,,,7,4.34,3.67,3.4,3.21,2.99
,,,,,,,,,,,,,,30,7.51,5.78,5.03,4.47,3.92
,,,,,,,,,,,,,,90,12.4,9.63,8.35,7.38,6.39
May–November,3.58,4.01,4.69,5.28,5.72,6.09,6.57,7.53,9.09,11.5,15.2,22.5,44.6,1,3.93,3.29,3.02,2.83,2.65
,,,,,,,,,,,,,,7,4.37,3.68,3.4,3.2,3.01
,,,,,,,,,,,,,,30,7.91,6,5.14,4.49,3.84
,,,,,,,,,,,,,,90,13.7,10.3,8.76,7.65,6.54
December–February,5.72,6.6,7.58,8.33,9.14,10.1,10.9,12.4,14.2,17.1,21.6,31,52.2,1,6.53,4.93,4.26,3.78,3.3
,,,,,,,,,,,,,,7,7.22,5.5,4.79,4.29,3.79
,,,,,,,,,,,,,,30,13.8,10.2,8.88,7.99,7.16
,,,,,,,,,,,,,,90,26.8,20.2,17.6,15.8,14
September–November,3.54,3.99,4.56,5.2,5.61,5.96,6.31,7.22,8.55,10.7,14.5,21.1,42.6,1,5.55,2.51,0.87,0.24,0.03
,,,,,,,,,,,,,,7,4.94,4,3.59,3.29,2.99
,,,,,,,,,,,,,,30,10.5,7.49,6.07,5.01,3.97
,,,,,,,,,,,,,,90,20.6,14.8,12.6,11.1,9.64
"04208502 – Big Creek at Cleveland OH—Statistics based on water years: 1975–1986, 2002, 2015–2020
Harmonic mean flow: 18.4 ft3/s—Average streamflow: 56.7 ft3/s—Minimum daily streamflow: 3.30 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,5.57,6.99,8.96,11,12,14,15,18,22,28,38,61,125,1,6.42,4.88,4.29,3.89,3.51
,,,,,,,,,,,,,,7,8.14,6.05,5.23,4.65,4.1
,,,,,,,,,,,,,,30,15.4,10.9,8.9,7.44,6
,,,,,,,,,,,,,,90,27.7,21.1,18.4,16.4,14.4
May–November,4.84,6.09,7.52,8.76,10,11,12.7,15.4,19,23.9,31.8,53,108,1,6.1,4.53,3.93,3.53,3.15
,,,,,,,,,,,,,,7,7.7,5.61,4.82,4.27,3.76
,,,,,,,,,,,,,,30,17.5,11.6,8.99,7.15,5.4
,,,,,,,,,,,,,,90,31.3,24.9,22,19.8,17.5
December–February,8.2,10.3,12,13,14,15,16.7,20,23,27.8,36,58,123,1,11.7,8.85,7.47,6.42,5.34
,,,,,,,,,,,,,,7,12.9,9.75,8.24,7.09,5.9
,,,,,,,,,,,,,,30,22.3,15.5,13.1,11.5,10.1
,,,,,,,,,,,,,,90,53.2,40.2,34.6,30.5,26.5
September–November,4.55,5.55,6.79,8.06,9.5,10.9,12,14.4,17.7,21,29,48.7,99.4,1,6.93,4.88,4.08,3.52,2.99
,,,,,,,,,,,,,,7,8.41,5.85,4.81,4.08,3.38
,,,,,,,,,,,,,,30,19.1,12.6,9.77,7.79,5.91
,,,,,,,,,,,,,,90,42.2,31.1,26.9,24,21.3
"04212100—Grand River near Painesville OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 118 ft3/s—Average streamflow: 1050 ft3/s—Minimum daily streamflow: 4.67 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,16,26,42.2,61.7,87.4,121,164,274,430,655,997,"1,610","2,850",1,20.2,11.8,8.6,6.51,4.67
,,,,,,,,,,,,,,7,24.3,13.6,9.76,7.26,5.11
,,,,,,,,,,,,,,30,46.2,24.1,17.2,13.1,9.64
,,,,,,,,,,,,,,90,132,57.5,37.2,25.8,17.1
May–November,12.3,20,29,39,49,60.3,76,114,172,264,446,800,"1,650",1,20.3,11.9,8.69,6.59,4.73
,,,,,,,,,,,,,,7,24.2,13.7,9.84,7.35,5.19
,,,,,,,,,,,,,,30,46.2,24.1,17.4,13.4,10.1
,,,,,,,,,,,,,,90,133,58,37.7,26.4,17.7
