Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
"03115973—Schocalog Run at Copley Junction OH—Statistics based on water years: 1992–2004, 2013
Harmonic mean flow: 1.05 ft3/s—Average streamflow: 5.01 ft3/s—Minimum daily streamflow: 0.01 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,0.22,0.52,0.81,1,1.2,1.4,1.6,2,2.5,3.2,4.1,5.9,11,1,0.26,0.09,0.04,0.02,0.01
,,,,,,,,,,,,,,7,0.43,0.16,0.08,0.04,0.02
,,,,,,,,,,,,,,30,1.06,0.57,0.39,0.28,0.18
,,,,,,,,,,,,,,90,2.18,1.42,1.12,0.91,0.71
May–November,0.11,0.34,0.6,0.79,0.95,1.1,1.2,1.5,2,2.5,3.4,4.9,9,1,0.27,0.09,0.04,0.02,0.01
,,,,,,,,,,,,,,7,0.43,0.16,0.08,0.04,0.02
,,,,,,,,,,,,,,30,1.07,0.57,0.39,0.23,0.18
,,,,,,,,,,,,,,90,2.28,1.43,1.11,0.89,0.7
December–February,0.76,1,1.3,1.4,1.6,1.76,1.9,2.3,2.71,3.3,4.1,5.6,10,1,1.19,0.47,0.22,0.11,0.04
,,,,,,,,,,,,,,7,1.34,0.79,0.57,0.42,0.29
,,,,,,,,,,,,,,30,2.28,1.68,1.45,1.29,1.13
,,,,,,,,,,,,,,90,4.87,4.04,3.69,3.42,3.16
September–November,0.11,0.27,0.48,0.65,0.82,0.95,1.07,1.3,1.66,2.2,2.8,4.22,8.16,1,0.35,0.16,0.11,0.07,0.05
,,,,,,,,,,,,,,7,0.66,0.31,0.18,0.11,0.06
,,,,,,,,,,,,,,30,1.65,0.87,0.58,0.4,0.25
,,,,,,,,,,,,,,90,3.31,2.02,1.53,1.2,0.9
"03116077—Chippewa Creek at Miller Rd at Sterling OH—Statistics based on water years: 2002–2020
Harmonic mean flow: 9.13 ft3/s—Average streamflow: 65.8 ft3/s—Minimum daily streamflow: 0.65 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.45,2.03,2.97,4.58,6.56,8.85,11.6,19.5,28.9,42.1,62.8,91.4,159,1,1.65,1.15,0.93,0.78,0.63
,,,,,,,,,,,,,,7,2.14,1.45,1.14,0.92,0.7
,,,,,,,,,,,,,,30,3.75,2.18,1.62,1.26,0.95
,,,,,,,,,,,,,,90,9.3,4.55,3.04,2.15,1.43
May–November,1.22,1.63,2.18,2.71,3.39,4.46,5.64,8.65,13,20.4,30.6,52.9,102,1,1.59,1.07,0.85,0.7,0.55
,,,,,,,,,,,,,,7,2.05,1.36,1.06,0.85,0.65
,,,,,,,,,,,,,,30,3.61,2.15,1.63,1.3,1
,,,,,,,,,,,,,,90,8.72,4.33,2.94,2.12,1.45
December–February,6.66,9.91,13.3,17.3,20.9,25.3,30,39,52.2,65.9,83.5,117,212,1,11.3,6.95,5.42,4.42,3.52
,,,,,,,,,,,,,,7,13.7,8.44,6.53,5.27,4.14
,,,,,,,,,,,,,,30,30.2,18.1,14,11.4,9.01
,,,,,,,,,,,,,,90,83.4,57,46,38.3,30.9
September–November,0.99,1.35,1.91,2.3,2.71,3.2,4.34,6.86,10.7,16.5,25.4,38.3,73.5,1,1.87,1.18,0.91,0.72,0.56
